+-----------------+--------+--------+--------------+
| circuit_type    | nqubit | nlayer | fi_value     |
| ph_random_phase | 7      | 3      | 0.8964785926 |
| ph_random_phase | 7      | 3      | 0.8964785926 |
| ph_random_phase | 7      | 3      | 0.8964785926 |
| ph_random_phase | 7      | 3      | 0.8964785926 |
| ph_random_phase | 7      | 3      | 0.8964785926 |
| qft             | 7      | -      | 0.8236607143 |
| ph1             | 8      | -      | 0.9613828318 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_1_random     | 8      | -      | 0.8549782811 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random       | 8      | 4      | 0.9451297421 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| ph_random_phase | 8      | 4      | 0.9228653194 |
| qft             | 8      | -      | 0.8236607143 |
+-----------------+--------+--------+--------------+
共 160 条记录，来源文件: data/shared/fi_results.pkl
