n,a,u,v,s,t,scaled,residual
14,6,3,17,192,1088,63.285823603317795,0.9888409938018405
14,6,3,19,192,1216,57.553803721610066,0.8992781831501573
14,6,5,7,320,448,57.794751703419614,0.9030429953659315
14,6,5,9,320,576,60.31733366038963,0.942458338443588
14,6,5,11,320,704,58.69322342263451,0.9170816159786642
14,6,5,13,320,832,66.80167385218502,1.043776153940391
14,6,5,17,320,1088,96.13701295020701,1.5021408273469845
14,6,5,19,320,1216,61.037782413095364,0.9537153502046151
14,6,7,9,448,576,70.96591960262525,1.1088424937910195
14,6,7,11,448,704,59.612589348696375,0.9314467085733809
14,6,7,13,448,832,59.77251158215053,0.933945493471102
14,6,7,15,448,960,51.09185226830922,0.7983101916923315
14,6,7,17,448,1088,49.729168303120304,0.7770182547362547
14,6,7,19,448,1216,55.98658747351696,0.8747904292737025
14,6,9,11,576,704,59.59319654286412,0.9311436959822519
14,6,9,13,576,832,71.0449598336674,1.1100774974010532
14,6,9,17,576,1088,51.49620760942214,0.804628243897221
14,6,9,19,576,1216,55.544277206367894,0.8678793313494984
14,6,11,13,704,832,59.52913216411797,0.9301426900643432
14,6,11,15,704,960,55.22499690838315,0.8628905766934867
14,6,11,17,704,1088,53.732920129607834,0.8395768770251224
14,6,11,19,704,1216,57.969370541356284,0.9057714147086919
14,6,13,15,832,960,48.16805508624193,0.7526258607225301
14,6,13,17,832,1088,46.49338532086488,0.7264591456385138
14,6,13,19,832,1216,59.058920930772935,0.9227956395433271
14,6,15,17,960,1088,238.89013366686896,3.7326583385448275
15,6,3,5,192,320,61.15615479667135,0.9555649186979899
15,6,3,7,192,448,61.347535535767435,0.9585552427463662
15,6,3,11,192,704,59.40521223755336,0.9282064412117712
15,6,3,13,192,832,59.638969581061325,0.9318588997040832
15,6,3,17,192,1088,61.96108747204719,0.9681419917507373
15,6,3,19,192,1216,57.89501588803018,0.9046096232504716
15,6,5,7,320,448,60.18658108142325,0.9404153293972383
15,6,5,9,320,576,60.23602325934924,0.9411878634273319
15,6,5,11,320,704,58.61142927726907,0.9158035824573292
15,6,5,13,320,832,63.804007715112284,0.9969376205486294
15,6,5,17,320,1088,74.41126139308972,1.1626759592670268
15,6,5,19,320,1216,57.504681688507404,0.8985106513829282
15,6,7,9,448,576,74.6733525915725,1.1667711342433202
15,6,7,11,448,704,59.630419189603536,0.9317252998375553
15,6,7,13,448,832,65.25098910369573,1.0195467047452458
15,6,7,15,448,960,57.24562810806827,0.8944629391885667
