n,a,u,v,s,t,scaled,residual
10,2,7,9,28,36,4.486538019502519,1.1216345048756298
10,2,7,11,28,44,3.7796955188213563,0.9449238797053391
10,2,7,13,28,52,3.813527482849511,0.9533818707123778
10,2,7,15,28,60,3.247840885036537,0.8119602212591343
10,2,7,17,28,68,3.1755198099114765,0.7938799524778691
10,2,7,19,28,76,3.5653167803958357,0.8913291950989589
10,2,9,11,36,44,3.7871197850092635,0.9467799462523159
10,2,9,13,36,52,4.537057802946077,1.1342644507365192
10,2,9,17,36,68,3.30434095498857,0.8260852387471425
10,2,9,19,36,76,3.5494699365777294,0.8873674841444323
10,2,11,13,44,52,3.784780885919777,0.9461952214799443
10,2,11,15,44,60,3.5388633577800475,0.8847158394450119
10,2,11,17,44,68,3.4493755421551104,0.8623438855387776
10,2,11,19,44,76,3.6777580063069477,0.9194395015767369
10,2,13,15,52,60,3.074113304368419,0.7685283260921048
10,2,13,17,52,68,2.9744464179341814,0.7436116044835454
10,2,13,19,52,76,3.733904502845273,0.9334761257113182
10,2,15,17,60,68,15.1003634688563,3.775090867214075
10,3,3,5,24,40,5.571548194033905,0.6964435242542382
10,3,3,7,24,56,6.09044440220119,0.7613055502751488
10,3,3,11,24,88,5.256848769324729,0.6571060961655911
10,3,3,13,24,104,4.67872447784511,0.5848405597306388
10,3,3,17,24,136,5.113698533424147,0.6392123166780184
10,3,3,19,24,152,4.626764035461279,0.5783455044326599
10,3,5,7,40,56,4.927915461546295,0.6159894326932869
10,3,5,9,40,72,4.938020166389535,0.6172525207986919
10,3,5,11,40,88,5.299452106773575,0.6624315133466969
10,3,5,13,40,104,5.721203494174426,0.7151504367718032
10,3,5,17,40,136,7.533210812518012,0.9416513515647515
10,3,5,19,40,152,6.2335694442802785,0.7791961805350348
10,3,7,9,56,72,8.873468663294494,1.1091835829118117
10,3,7,11,56,88,5.2476638575606405,0.6559579821950801
10,3,7,13,56,104,4.29615552373596,0.537019440466995
10,3,7,15,56,120,5.050492712012927,0.6313115890016159
10,3,7,17,56,136,3.6452191373583314,0.4556523921697914
10,3,7,19,56,152,4.662025926866972,0.5827532408583715
10,3,9,11,72,88,5.421621064313402,0.6777026330391752
10,3,9,13,72,104,4.885567147790489,0.6106958934738111
10,3,9,17,72,136,5.154238095560556,0.6442797619450695
10,3,9,19,72,152,3.7192777357201408,0.4649097169650176
10,3,11,13,88,104,5.169884083613257,0.6462355104516572
10,3,11,15,88,120,4.1602516614270755,0.5200314576783844
10,3,11,17,88,136,3.2116612004491074,0.4014576500561384
10,3,11,19,88,152,4.978336515894291,0.6222920644867864
10,3,13,15,104,120,3.8919648584431075,0.48649560730538843
10,3,13,17,104,136,4.141995394588005,0.5177494243235006
10,3,13,19,104,152,4.676563516151566,0.5845704395189457
10,3,15,17,120,136,19.942503984652678,2.4928129980815847
10,4,3,5,48,80,15.138892278993177,0.9461807674370736
10,4,3,7,48,112,16.74839747520467,1.0467748422002918
10,4,3,11,48,176,13.374071765031477,0.8358794853144673
10,4,3,13,48,208,11.343820764700238,0.7089887977937649
10,4,3,17,48,272,13.088032621203075,0.8180020388251922
10,4,3,19,48,304,12.405121755696157,0.7753201097310098
10,4,5,7,80,112,11.456185749184126,0.7160116093240079
10,4,5,9,80,144,11.466571505456916,0.7166607190910572
10,4,5,11,80,176,14.153280885084364,0.8845800553177727
10,4,5,13,80,208,11.293638178523924,0.7058523861577453
10,4,5,17,80,272,19.030911748166083,1.1894319842603802
10,4,5,19,80,304,18.654807346049992,1.1659254591281245
10,4,7,9,112,144,34.952672619315955,2.184542038707247
10,4,7,11,112,176,8.87666623627298,0.5547916397670613
10,4,7,13,112,208,10.426477908995636,0.6516548693122273
10,4,7,15,112,240,14.533066459788134,0.9083166537367584
10,4,7,17,112,272,6.497862101849254,0.40611638136557837
10,4,7,19,112,304,10.520287314649188,0.6575179571655743
10,4,9,11,144,176,8.624195907403635,0.5390122442127272
10,4,9,13,144,208,16.09619922692219,1.006012451682637
10,4,9,17,144,272,10.701654702072391,0.6688534188795244
10,4,9,19,144,304,13.441171168928285,0.8400731980580178
10,4,11,13,176,208,11.320160216007087,0.707510013500443
10,4,11,15,176,240,9.581948917482775,0.5988718073426734
10,4,11,17,176,272,8.494543110626934,0.5309089444141833
10,4,11,19,176,304,12.066104601239589,0.7541315375774743
10,4,13,15,208,240,12.649590487800422,0.7905994054875264
10,4,13,17,208,272,4.315711657442458,0.26973197859015363
10,4,13,19,208,304,10.358717630414304,0.647419851900894
10,4,15,17,240,272,53.3001865210263,3.3312616575641436
10,5,3,5,96,160,27.5875304145853,0.8621103254557906
10,5,3,7,96,224,21.522956991089245,0.6725924059715389
10,5,3,11,96,352,12.077824140154117,0.37743200437981617
10,5,3,13,96,416,14.977598101317888,0.468049940666184
10,5,3,17,96,544,2.058541437180667,0.06432941991189585
10,5,3,19,96,608,13.736065764234402,0.42925205513232506
10,5,5,7,160,224,12.645870358838865,0.3951834487137145
10,5,5,9,160,288,9.968782615707054,0.31152445674084545
10,5,5,11,160,352,9.491315680462705,0.29660361501445953
10,5,5,13,160,416,8.725775247470025,0.2726804764834383
10,5,5,17,160,544,4.480385585896752,0.1400120495592735
10,5,5,19,160,608,36.045955440587505,1.1264361075183595
10,5,7,9,224,288,62.88905764377386,1.9652830513679331
10,5,7,11,224,352,-3.7158835946682345e-05,-1.1612136233338233e-06
10,5,7,13,224,416,19.33886674055789,0.6043395856424341
10,5,7,15,224,480,12.29669644666303,0.3842717639582197
10,5,7,17,224,544,6.300085838034038,0.19687768243856368
10,5,7,19,224,608,21.060124864875572,0.6581289020273616
10,5,9,11,288,352,-5.756199752848801e-05,-1.7988124227652502e-06
10,5,9,13,288,416,31.080329405404193,0.971260293918881
10,5,9,17,288,544,10.125152078333631,0.31641100244792597
10,5,9,19,288,608,33.84664314251053,1.057707598203454
10,5,11,13,352,416,24.53922162545004,0.7668506757953137
10,5,11,15,352,480,-7.580770794102243e-05,-2.368990873156951e-06
10,5,11,17,352,544,-0.00010249429080722017,-3.2029465877256302e-06
10,5,11,19,352,608,-0.00011455244266689313,-3.5797638333404103e-06
10,5,13,15,416,480,-0.00010547817239803248,-3.296192887438515e-06
10,5,13,17,416,544,-0.00013418726754133026,-4.1933521106665705e-06
10,5,13,19,416,608,-0.00014997400489913382,-4.686687653097932e-06
10,5,15,17,480,544,-0.0001417609885345783,-4.430030891705572e-06
10,6,3,5,192,320,92.45926093841223,1.444675952162691
10,6,3,7,192,448,40.92209134777286,0.639407677308951
10,6,3,11,192,704,35.065017387474754,0.547890896679293
10,6,3,13,192,832,41.44047454899784,0.6475074148280913
10,6,3,17,192,1088,-8.680485324408238e-05,-1.3563258319387872e-06
10,6,3,19,192,1216,-9.701718891985678e-05,-1.5158935768727622e-06
10,6,5,7,320,448,19.192885912415232,0.299888842381488
10,6,5,9,320,576,-9.802760271515609e-05,-1.531681292424314e-06
10,6,5,11,320,704,45.240413752481395,0.7068814648825218
10,6,5,13,320,832,-0.00014159542614411436,-2.212428533501787e-06
10,6,5,17,320,1088,-0.0001729698632768617,-2.702654113700964e-06
10,6,5,19,320,1216,-0.0001933192589564925,-3.020613421195195e-06
10,6,7,9,448,576,83.99983744419904,1.31249746006561
10,6,7,11,448,704,-0.0001436702605821516,-2.2448478215961187e-06
10,6,7,13,448,832,96.69442781240554,1.5108504345688365
10,6,7,15,448,960,57.57865933370634,0.8996665520891616
10,6,7,17,448,1088,-0.00021097376014367342,-3.296465002244897e-06
10,6,7,19,448,1216,-0.00023579420251351735,-3.6842844142737086e-06
10,6,9,11,576,704,-0.0002064857105499307,-3.226339227342667e-06
10,6,9,13,576,832,186.48219223068972,2.913784253604527
10,6,9,17,576,1088,-0.00030643190824797273,-4.787998566374574e-06
10,6,9,19,576,1216,-0.00034248272098302834,-5.351292515359818e-06
10,6,11,13,704,832,-0.000298257137461011,-4.660267772828297e-06
10,6,11,15,704,960,-0.00034206661862379306,-5.344790915996767e-06
10,6,11,17,704,1088,-0.0003721748300744565,-5.815231719913383e-06
10,6,11,19,704,1216,-0.00041596010420086316,-6.499376628138487e-06
10,6,13,15,832,960,-0.0004067142783559241,-6.354910599311314e-06
10,6,13,17,832,1088,-0.00044262386746929394,-6.915997929207718e-06
10,6,13,19,832,1216,-0.000494697263642152,-7.729644744408626e-06
10,6,15,17,960,1088,-0.0005075111319197134,-7.929861436245522e-06
11,0,3,5,3,5,1.003988854674494,1.003988854674494
11,0,3,7,3,7,1.001783968867871,1.001783968867871
11,0,3,11,3,11,0.9968853129440439,0.9968853129440439
11,0,3,13,3,13,0.9944268068916107,0.9944268068916107
11,0,3,17,3,17,1.0012418290947813,1.0012418290947813
11,0,3,19,3,19,0.9908038917540025,0.9908038917540025
11,0,5,7,5,7,0.9932271605506202,0.9932271605506202
11,0,5,9,5,9,0.9981199875732604,0.9981199875732604
11,0,5,11,5,11,0.9941580191133581,0.9941580191133581
11,0,5,13,5,13,1.0121395533771607,1.0121395533771607
11,0,5,17,5,17,1.0471153030227727,1.0471153030227727
11,0,5,19,5,19,0.9845592905733025,0.9845592905733025
11,0,7,9,7,9,1.1021875038317908,1.1021875038317908
11,0,7,11,7,11,0.9930848126547345,0.9930848126547345
11,0,7,13,7,13,1.014482458142618,1.014482458142618
11,0,7,15,7,15,0.9798920349611222,0.9798920349611222
11,0,7,17,7,17,0.9766986771497398,0.9766986771497398
11,0,7,19,7,19,0.9958752823133441,0.9958752823133441
11,0,9,11,9,11,0.9863605069087596,0.9863605069087596
11,0,9,13,9,13,1.0057837642303942,1.0057837642303942
11,0,9,17,9,17,0.9746987560338908,0.9746987560338908
11,0,9,19,9,19,0.9890839323813846,0.9890839323813846
11,0,11,13,11,13,0.9956820534065431,0.9956820534065431
11,0,11,15,11,15,0.9688161136802896,0.9688161136802896
11,0,11,17,11,17,0.9732407349415068,0.9732407349415068
11,0,11,19,11,19,0.9998663768044274,0.9998663768044274
11,0,13,15,13,15,0.9785077086893466,0.9785077086893466
11,0,13,17,13,17,0.9739208399126352,0.9739208399126352
11,0,13,19,13,19,1.0050866142613024,1.0050866142613024
11,0,15,17,15,17,1.235294345982318,1.235294345982318
11,1,3,5,6,10,1.4663961568542803,0.7331980784271401
11,1,3,7,6,14,1.4725990868101373,0.7362995434050686
11,1,3,11,6,22,1.4453609368533318,0.7226804684266659
11,1,3,13,6,26,1.4302781041845927,0.7151390520922963
11,1,3,17,6,34,1.4699567318610978,0.7349783659305489
11,1,3,19,6,38,1.4211259425848837,0.7105629712924418
11,1,5,7,10,14,1.4367097133750957,0.7183548566875478
11,1,5,9,10,18,1.438725941478805,0.7193629707394025
11,1,5,11,10,22,1.423121247125767,0.7115606235628835
11,1,5,13,10,26,1.4965598257417552,0.7482799128708776
11,1,5,17,10,34,1.5854984064384678,0.7927492032192339
11,1,5,19,10,38,1.4032405120882305,0.7016202560441153
11,1,7,9,14,18,1.7607881374568257,0.8803940687284129
11,1,7,11,14,22,1.431552469134389,0.7157762345671945
11,1,7,13,14,26,1.4617229839092798,0.7308614919546399
11,1,7,15,14,30,1.394596017093563,0.6972980085467815
11,1,7,17,14,34,1.375697057052522,0.687848528526261
11,1,7,19,14,38,1.4603455111057984,0.7301727555528992
11,1,9,11,18,22,1.404890303498856,0.702445151749428
11,1,9,13,18,26,1.4386464826200338,0.7193232413100169
11,1,9,17,18,34,1.3711975669755458,0.6855987834877729
11,1,9,19,18,38,1.4100661914367023,0.7050330957183512
11,1,11,13,22,26,1.4524380944173303,0.7262190472086651
11,1,11,15,22,30,1.3696417176584252,0.6848208588292126
11,1,11,17,22,34,1.3831353527968682,0.6915676763984341
11,1,11,19,22,38,1.4471059898327547,0.7235529949163774
11,1,13,15,26,30,1.3902269702066472,0.6951134851033236
11,1,13,17,26,34,1.3916536979533127,0.6958268489766564
11,1,13,19,26,38,1.4695999994409852,0.7347999997204926
11,1,15,17,30,34,2.5338777881013237,1.2669388940506618
11,2,3,5,12,20,3.88121561299724,0.97030390324931
11,2,3,7,12,28,3.889663444530748,0.972415861132687
11,2,3,11,12,44,3.770009719128401,0.9425024297821003
11,2,3,13,12,52,3.7882527294685255,0.9470631823671314
11,2,3,17,12,68,3.9430005241864516,0.9857501310466129
11,2,3,19,12,76,3.676239192649877,0.9190597981624693
11,2,5,7,20,28,3.819251136211225,0.9548127840528062
11,2,5,9,20,36,3.825182509386893,0.9562956273467232
11,2,5,11,20,44,3.722895067355053,0.9307237668387632
11,2,5,13,20,52,4.054946515196256,1.013736628799064
11,2,5,17,20,68,4.752354446056737,1.1880886115141842
11,2,5,19,20,76,3.6529210899230438,0.9132302724807609
11,2,7,9,28,36,4.740691157259286,1.1851727893148214
11,2,7,11,28,44,3.78365480893063,0.9459137022326575
11,2,7,13,28,52,4.149374545589521,1.0373436363973803
11,2,7,15,28,60,3.633702389180605,0.9084255972951513
11,2,7,17,28,68,3.581138740465924,0.895284685116481
11,2,7,19,28,76,3.8082656749046033,0.9520664187261508
11,2,9,11,36,44,3.6535781013668105,0.9133945253417026
11,2,9,13,36,52,4.063196419225807,1.0157991048064519
11,2,9,17,36,68,3.525885492753158,0.8814713731882895
11,2,9,19,36,76,3.513040661417087,0.8782601653542718
11,2,11,13,44,52,3.8969097652261286,0.9742274413065322
11,2,11,15,44,60,3.5486188672799144,0.8871547168199786
11,2,11,17,44,68,3.7522070265364382,0.9380517566341096
11,2,11,19,44,76,3.9034400296644627,0.9758600074161157
11,2,13,15,52,60,3.6859106412733103,0.9214776603183276
11,2,13,17,52,68,3.6763850620696044,0.9190962655174011
11,2,13,19,52,76,4.041784109624561,1.0104460274061402
11,2,15,17,60,68,7.862119134351543,1.9655297835878858
11,3,3,5,24,40,5.943879349729759,0.7429849187162199
11,3,3,7,24,56,5.872525145702883,0.7340656432128604
11,3,3,11,24,88,5.617486562799216,0.702185820349902
11,3,3,13,24,104,5.390370964235327,0.6737963705294159
11,3,3,17,24,136,6.383814888300004,0.7979768610375005
11,3,3,19,24,152,5.460287661181347,0.6825359576476684
11,3,5,7,40,56,5.465465762960736,0.683183220370092
11,3,5,9,40,72,5.55079538743792,0.69384942342974
11,3,5,11,40,88,5.414928553188727,0.6768660691485908
11,3,5,13,40,104,6.28107052987524,0.785133816234405
11,3,5,17,40,136,10.365010846133702,1.2956263557667127
11,3,5,19,40,152,5.476784038236814,0.6845980047796018
11,3,7,9,56,72,8.052573912159438,1.0065717390199298
11,3,7,11,56,88,5.582321198493094,0.6977901498116368
11,3,7,13,56,104,5.814324587991612,0.7267905734989515
11,3,7,15,56,120,4.779514078321424,0.597439259790178
11,3,7,17,56,136,4.559823193120701,0.5699778991400877
11,3,7,19,56,152,5.125331123995554,0.6406663904994443
11,3,9,11,72,88,5.297671927782551,0.6622089909728188
11,3,9,13,72,104,6.03746700801826,0.7546833760022825
11,3,9,17,72,136,4.993253528683344,0.624156691085418
11,3,9,19,72,152,5.121623160673543,0.6402028950841929
11,3,11,13,88,104,6.181071178927168,0.772633897365896
11,3,11,15,88,120,5.291331506037351,0.6614164382546689
11,3,11,17,88,136,4.77518112696445,0.5968976408705563
11,3,11,19,88,152,5.607069789255408,0.700883723656926
11,3,13,15,104,120,4.9290525513247285,0.6161315689155911
11,3,13,17,104,136,4.335839585379618,0.5419799481724522
11,3,13,19,104,152,5.995160341677046,0.7493950427096308
11,3,15,17,120,136,26.135504345934716,3.2669380432418396
11,4,3,5,48,80,15.456911410953731,0.9660569631846082
11,4,3,7,48,112,15.61748886587407,0.9760930541171293
11,4,3,11,48,176,14.569473240687117,0.9105920775429448
11,4,3,13,48,208,13.92331396970824,0.870207123106765
11,4,3,17,48,272,17.302909805472023,1.0814318628420014
11,4,3,19,48,304,13.427593322110134,0.8392245826318834
11,4,5,7,80,112,14.20962429506541,0.8881015184415881
11,4,5,9,80,144,14.154567280681,0.8846604550425625
11,4,5,11,80,176,13.356719479083974,0.8347949674427484
11,4,5,13,80,208,15.867904112362186,0.9917440070226367
11,4,5,17,80,272,30.763184647221404,1.9226990404513378
11,4,5,19,80,304,14.699374017563533,0.9187108760977208
11,4,7,9,112,144,24.5736290588465,1.5358518161779062
11,4,7,11,112,176,14.82720538574945,0.9267003366093406
11,4,7,13,112,208,15.65883891960391,0.9786774324752444
11,4,7,15,112,240,11.223449967967117,0.7014656229979448
11,4,7,17,112,272,11.161793845330152,0.6976121153331345
11,4,7,19,112,304,11.560205938594352,0.722512871162147
11,4,9,11,144,176,14.474999770407749,0.9046874856504843
11,4,9,13,144,208,17.45996326422232,1.091247704013895
11,4,9,17,144,272,11.156868009170056,0.6973042505731285
11,4,9,19,144,304,12.170126566633995,0.7606329104146247
11,4,11,13,176,208,15.751394279672953,0.9844621424795595
11,4,11,15,176,240,11.676151769377912,0.7297594855861195
11,4,11,17,176,272,13.36860719493948,0.8355379496837175
11,4,11,19,176,304,14.552129495928288,0.909508093495518
11,4,13,15,208,240,9.541153474506807,0.5963220921566754
11,4,13,17,208,272,7.141681584739526,0.4463550990462204
11,4,13,19,208,304,15.992497479109815,0.9995310924443634
11,4,15,17,240,272,82.07183624439857,5.1294897652749105
11,5,3,5,96,160,22.0780315953081,0.6899384873533781
11,5,3,7,96,224,26.880908399714365,0.8400283874910739
11,5,3,11,96,352,18.490670441489506,0.5778334512965471
11,5,3,13,96,416,15.453125152275376,0.4829101610086055
11,5,3,17,96,544,23.69373596046418,0.7404292487645057
11,5,3,19,96,608,16.82013578333471,0.5256292432292097
11,5,5,7,160,224,16.623016015504312,0.5194692504845098
11,5,5,9,160,288,15.962833581674381,0.4988385494273244
11,5,5,11,160,352,15.709363212979019,0.49091760040559435
11,5,5,13,160,416,15.576693376895973,0.48677166802799915
11,5,5,17,160,544,30.168760177587977,0.9427737555496243
11,5,5,19,160,608,18.30757305065469,0.572111657832959
11,5,7,9,224,288,68.95401091516118,2.154812841098787
