n,a,u,v,s,t,scaled,residual
26,1,9,19,18,38,1.4610130579794496,0.7305065289897248
26,1,11,13,22,26,1.461005806446164,0.730502903223082
26,1,11,15,22,30,1.4610065457649055,0.7305032728824528
26,1,11,17,22,34,1.4610052573390861,0.7305026286695431
26,1,11,19,22,38,1.461004631407648,0.730502315703824
26,1,13,15,26,30,1.4610300257322413,0.7305150128661206
26,1,13,17,26,34,1.4610060015852202,0.7305030007926101
26,1,13,19,26,38,1.4610108482731483,0.7305054241365742
26,1,15,17,30,34,1.4630205024222274,0.7315102512111137
26,2,3,5,12,20,3.844071940215253,0.9610179850538132
26,2,3,7,12,28,3.8440666780186707,0.9610166695046677
26,2,3,11,12,44,3.8440527651569663,0.9610131912892416
26,2,3,13,12,52,3.8440475760985793,0.9610118940246448
26,2,3,17,12,68,3.8440655604978695,0.9610163901244674
26,2,3,19,12,76,3.8440471440447292,0.9610117860111823
26,2,5,7,20,28,3.8440466543553136,0.9610116635888284
26,2,5,9,20,36,3.8440678273730735,0.9610169568432684
26,2,5,11,20,44,3.844046594825736,0.961011648706434
26,2,5,13,20,52,3.8441149826593373,0.9610287456648343
26,2,5,17,20,68,3.844267418352328,0.961066854588082
26,2,5,19,20,76,3.8440388739774436,0.9610097184943609
26,2,7,9,28,36,3.845630780399681,0.9614076950999203
26,2,7,11,28,44,3.8440417859651106,0.9610104464912776
26,2,7,13,28,52,3.8441072096464413,0.9610268024116103
26,2,7,15,28,60,3.8440547515023966,0.9610136878755992
26,2,7,17,28,68,3.8440324186991006,0.9610081046747752
26,2,7,19,28,76,3.8440656835522096,0.9610164208880524
26,2,9,11,36,44,3.844040394570217,0.9610100986425543
26,2,9,13,36,52,3.844088748498137,0.9610221871245342
26,2,9,17,36,68,3.844045750124611,0.9610114375311527
26,2,9,19,36,76,3.8440561235769133,0.9610140308942283
26,2,11,13,44,52,3.844026846799822,0.9610067116999556
26,2,11,15,44,60,3.8440321313312484,0.9610080328328121
26,2,11,17,44,68,3.8440291316188806,0.9610072829047202
26,2,11,19,44,76,3.844023194916684,0.961005798729171
26,2,13,15,52,60,3.8440976999632275,0.9610244249908069
26,2,13,17,52,68,3.8440268353640583,0.9610067088410146
26,2,13,19,52,76,3.844049442549297,0.9610123606373242
26,2,15,17,60,68,3.850892778519722,0.9627231946299305
26,3,3,5,24,40,5.7770335090606455,0.7221291886325807
26,3,3,7,24,56,5.777056163414269,0.7221320204267836
26,3,3,11,24,88,5.776995543988049,0.7221244429985061
26,3,3,13,24,104,5.776983338523419,0.7221229173154273
26,3,3,17,24,136,5.777036562061665,0.7221295702577081
26,3,3,19,24,152,5.7769765274809926,0.7221220659351241
26,3,5,7,40,56,5.776980550047653,0.7221225687559566
26,3,5,9,40,72,5.777014435069225,0.7221268043836532
26,3,5,11,40,88,5.776973060050895,0.7221216325063619
26,3,5,13,40,104,5.777232381586147,0.7221540476982684
26,3,5,17,40,136,5.777586005183081,0.7221982506478851
26,3,5,19,40,152,5.776944306196837,0.7221180382746046
26,3,7,9,56,72,5.78141174598192,0.72267646824774
26,3,7,11,56,88,5.77695871781879,0.7221198397273487
26,3,7,13,56,104,5.777136942402559,0.7221421178003199
